clone_timestamp,total_clones,unique_clones
"2025-12-01",57,48
"2025-12-02",34,20
"2025-12-03",35,17
"2025-12-04",14,9
"2025-12-05",14,11
"2025-12-06",31,17
"2025-12-07",48,28
"2025-12-08",12,10
"2025-12-09",22,15
"2025-12-11",4,3
"2025-12-12",17,11
"2025-12-13",18,12
"2025-12-14",20,14
"2025-12-15",24,14
"2025-12-18",3,3
"2025-12-19",2,2
"2025-12-20",0,0
"2025-12-21",43,24
"2025-12-22",20,10
"2025-12-23",0,0
"2025-12-24",17,10
"2025-12-25",53,31
"2025-12-26",75,31
"2025-12-27",6,5
"2025-12-28",31,16
"2025-12-29",70,38
"2025-12-30",41,22
"2025-12-31",18,12
"2026-01-01",42,26
"2026-01-02",38,19
"2026-01-03",56,33
"2026-01-04",6,2
"2026-01-05",1,1
"2026-01-06",0,0
"2026-01-07",0,0
"2026-01-08",0,0
"2026-01-09",0,0
"2026-01-10",0,0
"2026-01-11",34,21
"2026-01-12",2,2
"2026-01-13",1,1
"2026-01-14",0,0
"2026-01-15",1,1
"2026-01-16",0,0
"2026-01-17",25,15
"2026-01-18",94,47
"2026-01-19",2,2
"2026-01-20",1,1
"2026-01-21",4,4
"2026-01-22",0,0
"2026-01-23",0,0
"2026-01-24",2,1
"2026-01-25",0,0
"2026-01-26",1,1
"2026-01-27",2,2
"2026-01-28",1,1
"2026-01-29",1,1
"2026-01-30",26,15
"2026-01-31",15,12
"2026-02-01",0,0
"2026-02-02",0,0
"2026-02-03",1,1
"2026-02-04",0,0
"2026-02-05",1,1
"2026-02-06",0,0
"2026-02-07",0,0
"2026-02-08",0,0
"2026-02-09",0,0
"2026-02-10",0,0
"2026-02-11",0,0
"2026-02-12",0,0
"2026-02-13",0,0
"2026-02-14",0,0
"2026-02-15",0,0
"2026-02-17",0,0
